URL,Genre,Author,Exclude,Include
https://www.goodreads.com/author/list/15862877.Rebecca_Roanhorse,Fantasy,Rebecca Roanhorse,,
https://www.goodreads.com/author/list/13974.Mark_Z_Danielewski,Horror,Mark Z Daniewlewski,,
https://www.goodreads.com/author/list/6587.Tad_Williams,Fantasy,Tad Williams,,
https://www.goodreads.com/author/list/4.Douglas_Adams,Science Fiction,Douglas Adams,,
https://www.goodreads.com/author/list/8588.Raymond_E_Feist,Fantasy,Raymond E Feist,,
https://www.goodreads.com/author/list/6988.Bram_Stoker,Horror,Bram Stoker,,
https://www.goodreads.com/author/list/426944.T_H_White,Fantasy,T H White,,Y
https://www.goodreads.com/author/list/3487.Aldous_Huxley,Science Fiction,Aldous Huxley,,
https://www.goodreads.com/author/list/4575289.Leigh_Bardugo,Fantasy,Leigh Bardugo,,
https://www.goodreads.com/author/list/239579.Charles_Dickens,Classic Fiction,Charles Dickens,,
https://www.goodreads.com/author/list/874602.Ursula_K_Le_Guin,Fantasy,Ursula K Le Guin,,
https://www.goodreads.com/author/list/5194.Michael_Crichton,Science Fiction,Michael Crichton,,
https://www.goodreads.com/author/list/13026.Glen_Cook,Fantasy,Glen Cook,,
https://www.goodreads.com/author/list/10029.Colson_Whitehead,Historical Fiction,Colson Whitehead,,
https://www.goodreads.com/author/list/8347.Garth_Nix,Fantasy,Garth Nix,,
https://www.goodreads.com/author/list/9629.Terry_Brooks,Fantasy,Terry Brooks,,
https://www.goodreads.com/author/list/2916869.Robert_Jackson_Bennett,Fantasy,Robert Jackson Bennett,,
https://www.goodreads.com/author/list/6524620.Brian_McClellan,Fantasy,Brian McClellan,,
https://www.goodreads.com/author/list/16218.Christopher_Moore,Humor,Christopher Moore,,
https://www.goodreads.com/author/list/4763.John_Scalzi,Science Fiction,John Scalzi,,
https://www.goodreads.com/author/list/5073330.T_J_Klune,Fantasy,T J Klune,,
https://www.goodreads.com/author/list/589.Orson_Scott_Card,Science Fiction,Orson Scott Card,,
https://www.goodreads.com/author/list/1069006.C_S_Lewis,Fantasy,C S Lewis,,
https://www.goodreads.com/author/list/3618.Philip_Pullman,Fantasy,Philip Pullman,,
https://www.goodreads.com/author/list/16939.Michael_Moorcock,Fantasy,Michael Moorcock,,
https://www.goodreads.com/author/list/4712375.Christopher_Buehlman,Horror,Christopher Buehlman,,
https://www.goodreads.com/author/list/7367300.T_Kingfisher,Fantasy,T Kingfisher,,
https://www.goodreads.com/author/list/23069.Gene_Wolfe,Science Fiction,Gene Wolfe,,
https://www.goodreads.com/author/list/26.Anne_McCaffrey,Fantasy,Anne McCaffrey,,
https://www.goodreads.com/author/list/9494.H_P_Lovecraft,Horror,H P Lovecraft,,
https://www.goodreads.com/author/list/21101646.Ryan_Cahill,Fantasy,Ryan Cahill,,
https://www.goodreads.com/author/list/1159886.Arkady_Strugatsky,Science Fiction,Arkady Strugatsky,,
https://www.goodreads.com/author/list/4735144.Jay_Kristoff,Fantasy,Jay Kristoff,,
https://www.goodreads.com/author/list/4273.Roald_Dahl,Children,Roald Dahl,,
https://www.goodreads.com/author/list/1405152.Peter_V_Brett,Fantasy,Peter V Brett,,
https://www.goodreads.com/author/list/130698.Ted_Chiang,Science Fiction,Ted Chiang,,
https://www.goodreads.com/author/list/6949698.Katherine_Addison,Fantasy,Katherine Addison,,
https://www.goodreads.com/author/list/6572605.Taylor_Jenkins_Reid,Historical Fiction,Taylor Jenkins Reid,,
https://www.goodreads.com/author/list/3399559.David_Dalglish,Fantasy,David Daglish,,
https://www.goodreads.com/author/list/7415.Harlan_Ellison,Science Fiction,Harlan Ellison,,Y
https://www.goodreads.com/author/list/5805600.Morgan_Ryan,Fantasy,Morgan Ryna,,
https://www.goodreads.com/author/list/12542.Bernard_Cornwell,Historical Fiction,Bernard Cornwell,,
https://www.goodreads.com/author/list/16002992.S_A_Chakraborty,Fantasy,S A Chakraborty,,
https://www.goodreads.com/author/list/3159299.Dmitry_Glukhovsky,Science Fiction,Dmitry Glukhovsky,,Y
https://www.goodreads.com/author/list/5804101.Anthony_Ryan,Fantasy,Anthony Ryan,,
https://www.goodreads.com/author/list/38951.John_Connolly,Mystery,John Connolly,,
https://www.goodreads.com/author/list/16094.Lois_McMaster_Bujold,Fantasy,Lois McMaster Bujold,,
https://www.goodreads.com/author/list/8352974.qntm,Science Fiction,qntm,,
https://www.goodreads.com/author/list/1301649.L_E_Modesitt_Jr_,Fantasy,L E Modesitt Jr,,
https://www.goodreads.com/author/list/145435.Kentaro_Miura,Manga,Kentaro Miura,,
https://www.goodreads.com/author/list/4841825.Marion_Zimmer_Bradley,Fantasy,Marion Zimmer Bradley,,
https://www.goodreads.com/author/list/10538.Carl_Sagan,Science Fiction,Carl Sagan,,
https://www.goodreads.com/author/list/12521.William_Goldman,Fantasy,William Goldman,,
https://www.goodreads.com/author/list/88506.Joe_Hill,Horror,Joe Hill,,
https://www.goodreads.com/author/list/1067608.Peter_S_Beagle,Fantasy,Peter S Beagle,,
https://www.goodreads.com/author/list/5780686.Liu_Cixin,Science Fiction,Liu Cixin,,
https://www.goodreads.com/author/list/7058667.Nghi_Vo,Fantasy,Nghi Vo,,
https://www.goodreads.com/author/list/8726.Richard_Matheson,Horror,Richard Matheson,,
https://www.goodreads.com/author/list/2063919.Michael_J_Sullivan,Fantasy,Michael J Sullivan,,
https://www.goodreads.com/author/list/588356.Nnedi_Okorafor,Science Fiction,Nnedi Okorafor,,
https://www.goodreads.com/author/list/40563.Patricia_Briggs,Fantasy,Patricia Briggs,,
https://www.goodreads.com/author/list/8164.Lewis_Carroll,Children,Lewis Carroll,,
https://www.goodreads.com/author/list/10518.Elizabeth_Moon,Fantasy,Elizabeth Moon,,
https://www.goodreads.com/author/list/20891490.Barbara_Truelove,Science Fiction,Barbara Truelove,,
https://www.goodreads.com/author/list/869.Margaret_Weis,Fantasy,Margaret Weis,,
https://www.goodreads.com/author/list/7182576.Antonia_Hodgson,Historical Fiction,Antonia Hodgson,,
https://www.goodreads.com/author/list/3064305.Hugh_Howey,Science Fiction,Hugh Howey,,
