"Rank","Author","Genre","AuthorAvg","Title","SeriesName","SeriesNum","SeriesAvg","PubYear","Pages","AgeCategory","AvgRating","ReviewCount","EstimatedStartDate","EstimatedCompletionDate","Url"
"1","Travis Baldree","Fantasy","4.454","House of Blades (The Traveler's Gate Trilogy, 1)",,,,"2013",,"Young Adult","4.07","18180",,,"https://www.goodreads.com/book/show/61237606-house-of-blades"
"1","Travis Baldree","Fantasy","4.454","The Crimson Vault (The Traveler's Gate Trilogy, 2)",,,,"2013",,"Young Adult","4.18","13723",,,"https://www.goodreads.com/book/show/61237607-the-crimson-vault"
"1","Travis Baldree","Fantasy","4.454","City of Light (The Traveler's Gate Trilogy, 3)",,,,"2014",,"Young Adult","4.17","12177",,,"https://www.goodreads.com/book/show/61237608-city-of-light"
"1","Travis Baldree","Fantasy","4.454","Unsouled (Cradle, #1)","Cradle,","1","4.463","2016","9","Young Adult","4.14","55657","2026-01-01","2026-01-01","https://www.goodreads.com/book/show/41576813-unsouled"
"1","Travis Baldree","Fantasy","4.454","Soulsmith (Cradle, #2)","Cradle,","2","4.463","2016","8","Young Adult","4.32","40415","2026-01-11","2026-01-11","https://www.goodreads.com/book/show/43303167-soulsmith"
"1","Travis Baldree","Fantasy","4.454","Skysworn (Cradle, #4)","Cradle,","4","4.463","2017","300",,"4.38","35063","2026-01-25","2026-02-12","https://www.goodreads.com/book/show/49719105-skysworn"
"1","Travis Baldree","Fantasy","4.454","Ghostwater (Cradle, #5)","Cradle,","5","4.463","2018",,,"4.56","34165",,,"https://www.goodreads.com/book/show/44325067-ghostwater"
"1","Travis Baldree","Fantasy","4.454","Underlord (Cradle, #6)","Cradle,","6","4.463","2019",,,"4.61","33416",,,"https://www.goodreads.com/book/show/44453473-underlord"
"1","Travis Baldree","Fantasy","4.454","Uncrowned  (Cradle, #7)","Cradle,","7","4.463","2019","10","Young Adult","4.57","32238","2026-02-22","2026-02-22","https://www.goodreads.com/book/show/49901228-uncrowned"
"1","Travis Baldree","Fantasy","4.454","Reaper (Cradle, #10)","Cradle,","10","4.463","2021",,,"4.66","28646",,,"https://www.goodreads.com/book/show/228315365-reaper"
"1","Travis Baldree","Fantasy","4.454","Blackflame",,,,"2017",,"Young Adult","4.51","37228",,,"https://www.goodreads.com/book/show/228561648-blackflame"
"1","Travis Baldree","Fantasy","4.454","Wintersteel (Cradle, 8)",,,,"2020",,,"4.68","31537",,,"https://www.goodreads.com/book/show/59785859-wintersteel"
"1","Travis Baldree","Fantasy","4.454","Bloodline (Cradle, 9)",,,,"2021",,"Young Adult","4.5","29200",,,"https://www.goodreads.com/book/show/58085050-bloodline"
"1","Travis Baldree","Fantasy","4.454","Beware of Chicken: A Xianxia Cultivation Novel: Beware of Chicken, Book 1",,,,"2022","700",,"4.49","12568","2026-03-08","2026-04-23","https://www.goodreads.com/book/show/224235932-beware-of-chicken"
"1","Travis Baldree","Fantasy","4.454","Dreadgod (Cradle, 11)",,,,"2022",,,"4.62","25674",,,"https://www.goodreads.com/book/show/61426264-dreadgod"
"1","Travis Baldree","Fantasy","4.454","The Primal Hunter (The Primal Hunter #1)","The Primal Hunter","1","4.37","2022","21",,"4.26","18942","2026-05-03","2026-05-04","https://www.goodreads.com/book/show/62362934-the-primal-hunter"
"1","Travis Baldree","Fantasy","4.454","The Primal Hunter 2 (The Primal Hunter #2)","The Primal Hunter","2","4.37","2022","20",,"4.48","13039","2026-05-17","2026-05-17","https://www.goodreads.com/book/show/79202504-the-primal-hunter-2"
"1","Travis Baldree","Fantasy","4.454","The Primal Hunter 3 (The Primal Hunter, #3)","The Primal Hunter,","3","4.525","2022","19",,"4.52","11961","2026-05-31","2026-05-31","https://www.goodreads.com/book/show/79204996-the-primal-hunter-3"
"1","Travis Baldree","Fantasy","4.454","The Primal Hunter 4 (The Primal Hunter, #4)","The Primal Hunter,","4","4.525","2022","21",,"4.53","11366","2026-06-14","2026-06-15","https://www.goodreads.com/book/show/79206659-the-primal-hunter-4"
"1","Travis Baldree","Fantasy","4.454","Waybound (Cradle #12)","Cradle","12","4.62","2023","17",,"4.62","22305","2026-06-28","2026-06-28","https://www.goodreads.com/book/show/206666325-waybound"
"1","Travis Baldree","Fantasy","4.454","The Eye of the Bedlam Bride (Dungeon Crawler Carl #6)","Dungeon Crawler Carl","6","4.66","2023",,,"4.66","63771",,,"https://www.goodreads.com/book/show/228402508-the-eye-of-the-bedlam-bride"
"2","Pierce Brown","Science-Fiction","4.414","Red Rising (Red Rising Saga, #1)","Red Rising Saga,","1","4.444","2014","382","Young Adult","4.27","733539","2026-07-12","2026-08-06","https://www.goodreads.com/book/show/15839976-red-rising"
"2","Pierce Brown","Science-Fiction","4.414","Golden Son (Red Rising Saga, #2)","Red Rising Saga,","2","4.444","2015","466","Young Adult","4.49","450387","2026-08-16","2026-09-16","https://www.goodreads.com/book/show/18966819-golden-son"
"2","Pierce Brown","Science-Fiction","4.414","Morning Star (Red Rising Saga, #3)","Red Rising Saga,","3","4.444","2016","525","Young Adult","4.54","368258","2026-09-27","2026-11-02","https://www.goodreads.com/book/show/18966806-morning-star"
"2","Pierce Brown","Science-Fiction","4.414","Iron Gold (Red Rising Saga, #4)","Red Rising Saga,","4","4.444","2018","602","Young Adult","4.21","170218","2026-11-15","2026-12-27","https://www.goodreads.com/book/show/33257757-iron-gold"
"2","Pierce Brown","Science-Fiction","4.414","Dark Age (Red Rising Saga, #5)","Red Rising Saga,","5","4.444","2019","704",,"4.5","122483",,,"https://www.goodreads.com/book/show/29226553-dark-age"
"2","Pierce Brown","Science-Fiction","4.414","Red Rising: Das dunkle Zeitalter - Teil 1 (Red Rising Saga, #5A)","Red Rising Saga,","5","4.444","2019","500",,"4.22","279",,,"https://www.goodreads.com/book/show/43711753-red-rising"
"2","Pierce Brown","Science-Fiction","4.414","Red Rising: Das dunkle Zeitalter - Teil 2 (Red Rising Saga, #5B)","Red Rising Saga,","5","4.444","2019","555",,"4.5","264",,,"https://www.goodreads.com/book/show/50215106-red-rising"
"2","Pierce Brown","Science-Fiction","4.414","Light Bringer (Red Rising Saga, #6)","Red Rising Saga,","6","4.444","2023","682",,"4.77","94338",,,"https://www.goodreads.com/book/show/29227774-light-bringer"
"2","Pierce Brown","Science-Fiction","4.414","Red God (Red Rising Saga, #7)","Red Rising Saga,","7","4.444",,,,"4.5","382",,,"https://www.goodreads.com/book/show/61657799-red-god"
"2","Pierce Brown","Science-Fiction","4.414","Red Rising (1 of 2) [Dramatized Adaptation] (Red Rising Saga #1)","Red Rising Saga","1","4.597","2023",,,"4.37","1246",,,"https://www.goodreads.com/book/show/199598075-red-rising-1-of-2-dramatized-adaptation"
"2","Pierce Brown","Science-Fiction","4.414","Red Rising (2 of 2) [Dramatized Adaptation] (Red Rising Saga #1)","Red Rising Saga","1","4.597","2023","1",,"4.51","914",,,"https://www.goodreads.com/book/show/150944780-red-rising-2-of-2-dramatized-adaptation"
"2","Pierce Brown","Science-Fiction","4.414","Golden Son  (1 of 2) [Dramatized Adaptation] (Red Rising Saga #2)","Red Rising Saga","2","4.597","2015","1",,"4.57","849",,,"https://www.goodreads.com/book/show/197636250-golden-son-1-of-2-dramatized-adaptation"
"2","Pierce Brown","Science-Fiction","4.414","Golden Son  (2 of 2) [Dramatized Adaptation] (Red Rising Saga #2)","Red Rising Saga","2","4.597",,"9",,"4.67","611",,,"https://www.goodreads.com/book/show/209163543-golden-son-2-of-2-dramatized-adaptation"
"2","Pierce Brown","Science-Fiction","4.414","Morning Star (2 of 2) [Dramatized Adaptation] (Red Rising Saga #3)","Red Rising Saga","3","4.597","2016","10",,"4.77","409",,,"https://www.goodreads.com/book/show/211022514-morning-star-2-of-2-dramatized-adaptation"
"2","Pierce Brown","Science-Fiction","4.414","Morning Star (1 of 2) [Dramatized Adaptation] (Red Rising Saga #3)","Red Rising Saga","3","4.597",,,,"4.69","509",,,"https://www.goodreads.com/book/show/206829436-morning-star-1-of-2-dramatized-adaptation"
"2","Pierce Brown","Science-Fiction","4.414","Red Rising: Sons of Ares #1 (Sons of Ares, #1)","Sons of Ares,","1","4.17","2017","32","Young Adult","4.05","3331",,,"https://www.goodreads.com/book/show/31178398-red-rising"
"2","Pierce Brown","Science-Fiction","4.414","Red Rising: Sons of Ares #2 (Sons of Ares, #2)","Sons of Ares,","2","4.17","2017","30",,"4.16","1493",,,"https://www.goodreads.com/book/show/34884623-red-rising"
"2","Pierce Brown","Science-Fiction","4.414","Red Rising: Sons of Ares #3 (Sons of Ares, #3)","Sons of Ares,","3","4.17","2017","29",,"4.23","1138",,,"https://www.goodreads.com/book/show/35392051-red-rising"
"2","Pierce Brown","Science-Fiction","4.414","Red Rising: Sons of Ares #4 (Sons of Ares, #4)","Sons of Ares,","4","4.17","2017","29","Young Adult","4.2","658",,,"https://www.goodreads.com/book/show/35620644-red-rising"
"2","Pierce Brown","Science-Fiction","4.414","Red Rising: Sons of Ares #5 (Sons of Ares, #5)","Sons of Ares,","5","4.17","2017","30","Young Adult","4.21","606",,,"https://www.goodreads.com/book/show/35708105-red-rising"
"2","Pierce Brown","Science-Fiction","4.414","Red Rising: Sons of Ares #6 (Sons of Ares, #6)","Sons of Ares,","6","4.17","2017","32",,"4.17","572",,,"https://www.goodreads.com/book/show/36131152-red-rising"
"2","Pierce Brown","Science-Fiction","4.414","Red Rising: Sons of Ares Vol. 3: Forbidden Song",,,,"2023","120",,"4.29","1223",,,"https://www.goodreads.com/book/show/63246650-red-rising"
"2","Pierce Brown","Science-Fiction","4.414","The Red Rising Trilogy Series Collection #1-3",,,,,,"Young Adult","4.63","1377",,,"https://www.goodreads.com/book/show/40238675-the-red-rising-trilogy-series-collection-1-3"
"3","M.L. Wang","Fantasy","4.395","The Sword of Kaigen",,,,"2019","651",,"4.44","85450",,,"https://www.goodreads.com/book/show/41886271-the-sword-of-kaigen"
